指導教員,修士論文主題
望山洋,ダチョウ首規範超劣駆動マニピュレータのリアルタイム形状推定
望山洋,触走査により存在確率を絞り込む面歪マッピングシステム
望山洋,Modeling and Design of Wire-driven Ostrich-inspired Hyper-underactuated Robotic Manipulator
北原格,同一動作を複数回撮影した映像からの三次元姿勢推定法
北原格,自由視点映像における視聴者の操作情報に基づくカメラワーク嗜好推定および生成法
北原格,大規模空間で撮影される多視点画像の射影特性を考慮した三次元再構成法
北原格,測位・慣性情報に基づく大規模屋外Location-Based ARの高精度化
北川博之,"Contrastive Learning-Based Sleep Stage Classification
Considering Surrounding Epochs in EEG Signals"
堀江和正,睡眠ステージ自動判定における特徴量解析を通じたモデル解釈
面和成,ブロックチェーンにおけるプライバシー保護手法に関する研究
面和成,スマートポンジスキームの時系列構文変化と検出性能への影響分析
面和成,TEEとTrusted UIを統合したコールドウォレットの安全性向上に関する研究
面和成,デジタルコンテンツの権利保証に向けた類似性評価とNFT方式に関する研究
面和成,連合学習を用いた地震動予測モデルの改良
面和成,NFT's Missing Link: Resolver Contract for NFT Verification Tool with Enhanced Linkability
木下陽平,InSAR解析による令和6年能登半島地震の地震後地殻変動の検出
木下陽平,未知のスロースリップイベント検出を目的としたInSAR時系列データへの異常検知手法開発
木村成伴,"Named Data Networkingのためのキャッシュ戦略PoolCache上で
人気のあるコンテンツをキャッシュするルータを増やす改良方式"
木村成伴,"アドホックネットワークにおけるビーコン間隔拡張のクラスタリ
ングを用いたルーティングアルゴリズムの提案"
木村成伴,持続的な輻輳状態に対応したMPTCP・GSAM切り替え方式
木村成伴,"マルチコントローラSDNにおけるコントローラ・スイッチ間総和
距離最小化マッピングの変動を考慮したスイッチマイグレーショ
ン方式"
矢野博明,階段昇降動作に対する視覚と歩行感覚提示を用いたミラーセラピーシステム
矢野博明,バーチャル吸音壁による聴覚刺激変化を用いた後方物体の存在感提示
矢野博明,エッジを用いた遭遇型力覚提示における形状識別の検討
有田智一,建替え後の団地におけるエリアマネジメント組織の自立プロセスと専門的支援の役割に関する研究
有田智一,都市再生緊急整備地域における都市再生政策の効果と課題に関する研究―地方中枢都市の事例を対象として―
有田智一,都市再生特別地区における公共貢献としての資金貢献手法の実態と可能性に関する研究
有田智一,スタジアム・アリーナの開発計画における意思決定プロセスと運営実態に関する研究
有田智一,日本橋界隈において長期的な視点で都市機能更新に取り組む地元組織団体の現状と課題に関する研究-日本橋一の部連合町会地区に着目して-
有馬澄佳,LiDARデータに基づく視線および姿勢情報統合による危険行動の動的検出システム?荷役作業ケース
有馬澄佳,3階層サプライチェーンにおける協調的納期決定アルゴリズム
有馬澄佳,自律性モデルと自己価値充足モデルを統合した職場安全の心理-行動分析、介入提案
有馬澄佳,工場間の経路最適化を含む多目的マルチファクトリー・スケジューリング
有馬澄佳,画像の局所=大域の周波数特化型デュアルブランチによる異常検知?半導体欠陥を例に?
有馬澄佳,品質検査レイヤーを横断する特徴量解析と異常原因探索
有馬澄佳,L0スパース性を考慮した経験ベイズによるFactorization Machines
鈴木健嗣,形状変化するソフトロボットによる社会的シグナル伝達の表現特性
鈴木健嗣,下肢姿勢と膝角度に基づく乗り込み動作評価とスプリント訓練支援
鈴木健嗣,顔面神経麻痺患者支援のための顔形状適応型多電極フェイスマスク
鈴木健嗣,反作用ホイールを用いた歩行中の骨盤回旋を支援する装着型機器
鈴木健嗣,機械学習を用いた生体音と映像に基づく日常生活中の咀嚼動態識別
鈴木研悟,エネルギー事業者の有する社会的選好が炭素税の効果に与える影響の評価
鈴木研悟,炭素価格の転嫁が製造業サプライチェーンにおけるエネルギー転換に与える影響分析
鈴木研悟,自動車市場の時間変化が消費者選好と車種選択に与える影響分析
鈴木大三,"アニメ調キャラクター画像生成のための局所変換考慮型領域検出
モデル"
鈴木大三,"動き・顕著性駆動型スーパーフレーム分割を用いた単一対象ユー
ザービデオの要約"
鈴木大三,"ブロック歪み回避と高精度細部復元を両立するウェーブレット拡
散モデルによる低照度画像強調"
鈴木大三,事前修復画像のエッジガイドを用いた拡散ベース画像修復
鈴木大三,"周波数強調を導入したウェーブレット残差拡散モデルによる単一
画像超解像"
鈴木大三,"ランダム擬似完全シームレット変換を用いた形状歪曲型JPEG
2000暗号化"
鈴木勉,人流データによる滞在移動特性評価と複数モード公共交通網設計
鈴木勉,Comparison of Carbon Dioxide Reduction of Transport Interventions Considering Topographic Relief
和田健太郎,サグ部ミクロ交通シミュレーション較正のための連続体交通流理論と機械学習のハイブリッド手法
和田健太郎,Second order bathtub modelsの提案と実データによる検証
和田健太郎,MFDを用いた過飽和道路ネットワークの交通性能分析：タイ・バンコクを対象として
國廣昇,暗号化クラウドストレージMEGAの安全性解析
國廣昇,Small Private Exponent Attacks on RSA-type Cryptosystems
國廣昇,"べき乗剰余を計算する定数深さ量子回路の具体的な構成と回路リ
ソースの推定"
國廣昇,"Research on Toffoli Gate of Decomposition for Shor's Factoring
Algorithm in Noisy Environments"
國廣昇,イデアル所属問題に対する知識の証明に関する研究
國廣昇,"Machine-Learning-Aided Attacks on LWE Problem with Sparse
Binary Secret Keys"
櫻井鉄也,Ensemble Deep Learning for SUMOylation Site Prediction
澁谷長史,粒子間相互作用を考慮した粒子群ベース浮選結果予測モデルの構築に関する研究
澤亮治,同質でない企業が存在する場合の新卒就活市場における既卒差別の分析
澤亮治,地域格差を考慮したふるさと納税による返礼品競争
澤亮治,学生の選考情報を利用した採用支援サービスに関する研究
澤亮治,最適停止問題を用いた就活市場の分析と改善提案
萬礼応,"自律移動ロボットの深層強化学習による歩行者流を考慮した人調
和型ナビゲーション"
萬礼応,"ステアリング型移動ロボットの切り返しを要する狭所環境におけ
る加速度制約を考慮した軌道計画"
萬礼応,"魚眼ステレオカメラと相対深度推定モデルを用いた広範囲・高密
度絶対深度推定"
萬礼応,"農業ハウス内移動ロボットにおけるLiDARオドメトリとNDTマッ
チング結果の幾何学的整合性判定に基づくロバスト自己位置推定"
萬礼応,"カメラ搭載移動ロボットの多視点観測に基づく農作物の3次元位置
推定と重複排除による数量推定"
藪野浩司,係数励振を利用した弱連成振動子の線形，非線形モードの励起法
藪野浩司,ジャイロダンパによる蛇行動の大域的安定化制御
藪野浩司,高粘性環境におけるデータ駆動型自励発振レゾネータによる質量計測
髙谷剛志,Computational Imaging with Unconventional Cameras for Robust Estimation of Surface Normals
