指導教員,修士論文主題
海老原格,付加製造されたオーボエ用樹脂リードの構造操作に基づく特性制御に関する研究
海老原格,Study on Underwater Acoustic Positioning Using Reconstructed Wavefront Sets Based on Time of Arrival in Multipath Environments
海老原格,マルチパス環境におけるTime-of-Flight計測に基づく水中音響測位の空間精度評価に関する研究
海老原格,共鳴胴特有の演奏感を実現するサイレントギターにおける能動仮想共振器に関する研究
海老原格,電気インピーダンス法を用いる米粉パンの発酵および食感の非破壊評価に関する研究
海老原格,Study on Underwater Acoustic Communications Using Time Diversity and Orthogonal Signal Division Multiplexing
額田彰,"シミュレーションにおける中間変数の利用による超解像の精度向
上"
掛谷英紀,クラスターベース多視点レンダリングによる実時間粗インテグラル表示
掛谷英紀,時分割指向性バックライト式裸眼立体表示のクロストーク低減と輝度均一化
乾孝司,地理空間情報の言語化に基づく区画の機能的類似性演算
乾孝司,"大規模言語モデル構築におけるMixture of MQ-LoRA Expertsの提
案"
乾孝司,"LLMを用いた大規模観光文書群からのスキーマ指定可能な表生成
手法"
乾孝司,"Multi-Agents Based Prompt Optimization for POI
Recommendation Using TrajRAG"
乾孝司,"SNSフォロー関係を考慮したユーザプロフィール生成を用いた
LLMに基づく次訪問地推定"
干川尚人,データセンターの空調効率改善に向けた空間温度測定とホットスポットの分析
干川尚人,FGEC：フラクタル幾何学と進化的計算による大規模3D環境の自動生成手法
亀山啓輔,中心化カーネルアラインメントによる構造的知識蒸留
亀山啓輔,残差パタン一貫性制約によるStyleGAN正則化
亀山啓輔,"グローバル補間と局所多様体摂動を統合した二段階データ拡張に
よる画像分類の高精度化"
亀山啓輔,GNNとLSTMによる車両間相互作用を考慮した車群軌道予測
亀山幸義,"Polymorphic Type Inference for an Effectful Multi-Stage
Language"
亀山幸義,"Modular Metaprogramming Based on Monadic Hylomorphism
and Program Fusion"
亀田能成,サッカーにおける視覚探索運動の変化を引き起こす視野狭窄提示
亀田能成,歩行者が行き交う環境における自転車カメラからの安全ルート推定
亀田能成,相撲映像における力士間特徴に基づく取り口の認識
亀田能成,卓球試合映像からの骨格と打球に基づくコース推定と得点効果分析
亀田能成,車いす認識と骨格推定に基づく車いすテニスのストローク解析
吉瀬章子,大学入試業務の人員配置最適化における数理モデルの改良
吉瀬章子,社会工学・サービス工学学位プログラムにおける修士論文審査員の割り当て問題
吉瀬章子,社会工学・サービス工学学位プログラムにおける修士論文発表会スケジューリングシステムの開発
吉瀬章子,学年暦の自動生成 ?曜日変更最小化モデルとその修正の自動化?
牛島光一,非罰則的介入の犯罪抑止効果：渋谷区路上飲酒禁止条例を事例として
牛島光一,意思決定に潜在する選好的差別と統計的差別の識別：メジャーリーグの投球分析から
